uf_nome;uf;municipio;populacao;ibge;IBGE_SEMCOD;ADS;SRS
CE;23;Palmácia;13439;2310100;231010;MARACANAU;FORTALEZA
CE;23;Paracuru;35304;2310209;231020;CAUCAIA;FORTALEZA
CE;23;Paraipaba;32992;2310258;231025;CAUCAIA;FORTALEZA
CE;23;Parambu;31455;2310308;231030;TAUA;SERTAO CENTRAL
CE;23;Paramoti;12252;2310407;231040;CANINDE;SERTAO CENTRAL
CE;23;Pedra Branca;43309;2310506;231050;QUIXADA;SERTAO CENTRAL
CE;23;Penaforte;9143;2310605;231060;BREJO SANTO;CARIRI
CE;23;Pentecoste;37900;2310704;231070;CAUCAIA;FORTALEZA
CE;23;Pereiro;16331;2310803;231080;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Pindoretama;20769;2310852;231085;CASCAVEL;FORTALEZA
CE;23;Piquet Carneiro;17086;2310902;231090;IGUATU;CARIRI
CE;23;Pires Ferreira;11001;2310951;231095;SOBRAL;SOBRAL
CE;23;Poranga;12347;2311009;231100;CRATEUS;SOBRAL
CE;23;Porteiras;14958;2311108;231110;BREJO SANTO;CARIRI
CE;23;Potengi;11106;2311207;231120;CRATO;CARIRI
CE;23;Potiretama;6437;2311231;231123;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Quiterianópolis;21166;2311264;231126;CRATEUS;SOBRAL
CE;23;Quixadá;88321;2311306;231130;QUIXADA;SERTAO CENTRAL
CE;23;Quixelô;16147;2311355;231135;IGUATU;CARIRI
CE;23;Quixeramobim;81778;2311405;231140;QUIXADA;SERTAO CENTRAL
CE;23;Quixeré;22293;2311504;231150;LIMOEIRO;LITORAL LESTE/JAGUARIBE
CE;23;Redenção;29146;2311603;231160;MARACANAU;FORTALEZA
CE;23;Reriutaba;18385;2311702;231170;SOBRAL;SOBRAL
CE;23;Russas;78882;2311801;231180;RUSSAS;LITORAL LESTE/JAGUARIBE
CE;23;Saboeiro;15788;2311900;231190;IGUATU;CARIRI
